"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Trump","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"27","Emerson College","Emerson","123365","poll","8/24 - 8/26","","1458 RV","2.5","",Biden,Democrat,+8.0,,2019-08-27 12:15:38,"https://emersonpolling.reportablenews.com/pr/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades",2019-08-24,2019-08-26,"1","Biden","Democrat","+8.0","",54.0,46.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"77","Quinnipiac University","Quinnipiac","123383","poll","8/21 - 8/26","","1422 RV","4.6","",Biden,Democrat,+16.0,,2019-08-28 08:17:42,"https://poll.qu.edu/national/release-detail?ReleaseID=3638",2019-08-21,2019-08-26,"1","Biden","Democrat","+16.0","",54.0,38.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"50","Morning Consult","Politico/Morning Consult","123304","poll","8/16 - 8/18","","1998 RV","2.0","",Biden,Democrat,+7.0,,2019-08-21 10:30:02,"https://morningconsult.com/wp-content/uploads/2019/08/190845_crosstabs_POLITICO_RVs_v1_JB.pdf",2019-08-16,2019-08-18,"1","Biden","Democrat","+7.0","",42.0,35.0,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"32","Fox News/Beacon Research/Shaw & Co. Research","FOX News","123248","poll","8/11 - 8/13","","1013 RV","3.0","",Biden,Democrat,+12.0,,2019-08-15 18:04:30,"https://www.foxnews.com/politics/fox-news-poll-8-15",2019-08-11,2019-08-13,"1","Biden","Democrat","+12.0","",50.0,38.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"85","SurveyUSA","SurveyUSA","123170","poll","8/1 - 8/5","","5459 RV","1.6","",Biden,Democrat,+8.0,,2019-08-09 18:19:39,"http://www.surveyusa.com/client/PollReport.aspx?g=e05bf5ae-982d-4f96-b0ae-671cdfe56aab",2019-08-01,2019-08-05,"1","Biden","Democrat","+8.0","",50.0,42.0,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"44","IBD/TIPP","IBD/TIPP","123132","poll","7/25 - 8/1","","856 RV","3.5","",Biden,Democrat,+13.0,,2019-08-07 15:52:51,"https://www.investors.com/politics/joe-biden-has-big-lead-president-trump-job-approval-slides-ibd-tipp-poll/",2019-07-25,2019-08-01,"1","Biden","Democrat","+13.0","",54.0,41.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"12","Emerson College","Emerson","122976","poll","7/27 - 7/29","","1233 RV","2.7","",Biden,Democrat,+2.0,,2019-07-30 08:30:03,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-support-while-bernie-bounces-back",2019-07-27,2019-07-29,"1","Biden","Democrat","+2.0","",51.0,49.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"28","Fox News/Beacon Research/Shaw & Co. Research","FOX News","122944","poll","7/21 - 7/23","","1004 RV","3.0","",Biden,Democrat,+10.0,,2019-07-25 18:04:05,"https://www.foxnews.com/politics/fox-news-poll-biden-holds-commanding-lead-for-democratic-nomination",2019-07-21,2019-07-23,"1","Biden","Democrat","+10.0","",49.0,39.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"54","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","122747","poll","7/7 - 7/9","","800 RV","3.5","",Biden,Democrat,+9.0,,2019-07-14 10:10:38,"https://www.documentcloud.org/documents/6192907-NBCWSJ-July-Poll.html",2019-07-07,2019-07-09,"1","Biden","Democrat","+9.0","",51.0,42.0,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"19","Emerson College","Emerson","122682","poll","7/6 - 7/8","","1100 RV","2.9","",Biden,Democrat,+6.0,,2019-07-09 08:28:29,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-lead-in-democratic-primary-trump-closes-the-gap-in-the-general-election",2019-07-06,2019-07-08,"1","Biden","Democrat","+6.0","",53.0,47.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"78","Rasmussen Reports/Pulse Opinion Research","Rasmussen Reports","122655","poll","6/23 - 7/2","","4500 LV","1.5","",Biden,Democrat,+4.0,,2019-07-05 13:15:00,"http://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_jul05",2019-06-23,2019-07-02,"1","Biden","Democrat","+4.0","",48.0,44.0,277,716,"no","no","IVR/Online","no", 0.3, 0.8,"C+","R +1.5","78%","30%",5.3,5.5,-0.1, 0.3, 0.3, 0.8,576,"R +1.6","R +1.5","R +1.2",4.7,0.07
"5","ABC News/Washington Post","ABC News/Wash Post","122670","poll","6/28 - 7/1","","875 RV","4.0","",Biden,Democrat,+10.0,,2019-07-07 01:02:11,"https://www.washingtonpost.com/politics/aided-by-a-strong-economy-trump-approval-rises-but-a-majority-also-see-him-as-unpresidential/2019/07/04/c9c42c54-9d9f-11e9-b27f-ed2942f73d70_story.html",2019-06-28,2019-07-01,"1","Biden","Democrat","+10.0","",53.0,43.0,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"21","Emerson College","Emerson","122482","poll","6/21 - 6/24","","1096 RV","2.9","",Biden,Democrat,+10.0,,2019-06-25 07:39:51,"https://emersonpolling.reportablenews.com/pr/june-national-poll-all-eyes-on-the-democratic-debates-biden-sanders-and-warren-separate-from-the-field",2019-06-21,2019-06-24,"1","Biden","Democrat","+10.0","",55.0,45.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"33","Fox News/Beacon Research/Shaw & Co. Research","FOX News","122351","poll","6/9 - 6/12","","1001 RV","3.0","",Biden,Democrat,+10.0,,2019-06-16 12:05:49,"https://www.foxnews.com/politics/fox-news-poll-6-16",2019-06-09,2019-06-12,"1","Biden","Democrat","+10.0","",49.0,39.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"74","Quinnipiac University","Quinnipiac","122257","poll","6/6 - 6/10","","1214 RV","3.5","",Biden,Democrat,+13.0,,2019-06-11 14:09:24,"https://poll.qu.edu/national/release-detail?ReleaseID=2627",2019-06-06,2019-06-10,"1","Biden","Democrat","+13.0","",53.0,40.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"49","Morning Consult","Politico/Morning Consult","122265","poll","6/7 - 6/9","","1991 RV","2.0","",Biden,Democrat,+11.0,,2019-06-12 08:45:14,"https://morningconsult.com/wp-content/uploads/2019/06/190618_crosstabs_POLITICO_RVs_v1_cxy7nwRpto.pdf",2019-06-07,2019-06-09,"1","Biden","Democrat","+11.0","",44.0,33.0,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"37","Fox News/Beacon Research/Shaw & Co. Research","FOX News","121929","poll","5/11 - 5/14","","1001 RV","3.0","",Biden,Democrat,+11.0,,2019-05-16 18:09:37,"https://www.foxnews.com/politics/fox-news-poll-biden-up-by-double-digits-in-democratic-race",2019-05-11,2019-05-14,"1","Biden","Democrat","+11.0","",49.0,38.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"26","Emerson College","Emerson","121871","poll","5/10 - 5/13","","1006 RV","3.0","",Biden,Democrat,+8.0,,2019-05-13 21:33:56,"https://emersonpolling.reportablenews.com/pr/may-national-poll-biden-back-in-the-lead-for-the-democratic-nomination",2019-05-10,2019-05-13,"1","Biden","Democrat","+8.0","",54.0,46.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"7","CNN/Opinion Research Corp.","CNN","121753","poll","4/25 - 4/29","","470 RV","5.5","",Biden,Democrat,+6.0,,2019-05-02 23:55:00,"https://cdn.cnn.com/cnn/2019/images/05/01/rel6d.-.trump.and.2020.pdf",2019-04-25,2019-04-29,"1","Biden","Democrat","+6.0","",51.0,45.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"90",NA,"The Hill/HarrisX","121662","poll","4/25 - 4/26","","1000 RV","3.1","",Biden,Democrat,+6.0,,2019-04-26 14:49:55,"https://thehill.com/hilltv/what-americas-thinking/440845-biden-leads-trump-by-6-points-in-first-post-announcement-poll",2019-04-25,2019-04-26,"1","Biden","Democrat","+6.0","",43.0,37.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Morning Consult","Politico/Morning Consult","121657","poll","4/19 - 4/21","","1992 RV","2.0","",Biden,Democrat,+8.0,,2019-05-10 09:44:06,"https://morningconsult.com/wp-content/uploads/2019/04/190452_crosstabs_POLITICO_RVs_v1.pdf",2019-04-19,2019-04-21,"1","Biden","Democrat","+8.0","",42.0,34.0,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"23","Emerson College","Emerson","121518","poll","4/11 - 4/14","","914 RV","3.2","",Biden,Democrat,+6.0,,2019-04-15 08:07:08,"http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/",2019-04-11,2019-04-14,"1","Biden","Democrat","+6.0","",53.0,47.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"58","Public Policy Polling","PPP (D)","121354","poll","3/27 - 3/28","","846 RV","3.4","",Biden,Democrat,+13.0,,2019-04-01 13:27:52,"https://www.publicpolicypolling.com/wp-content/uploads/2019/04/PPP_Release_National_40119.pdf",2019-03-27,2019-03-28,"1","Biden","Democrat","+13.0","",53.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"80","Rasmussen Reports/Pulse Opinion Research","Rasmussen Reports","121364","poll","3/17 - 3/21","","5000 LV","1.5","",Biden,Democrat,+5.0,,2019-04-01 16:08:53,"http://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_mar29",2019-03-17,2019-03-21,"1","Biden","Democrat","+5.0","",49.0,44.0,277,716,"no","no","IVR/Online","no", 0.3, 0.8,"C+","R +1.5","78%","30%",5.3,5.5,-0.1, 0.3, 0.3, 0.8,576,"R +1.6","R +1.5","R +1.2",4.7,0.07
"36","Fox News/Beacon Research/Shaw & Co. Research","FOX News","121236","poll","3/17 - 3/20","","1002 RV","3.0","",Biden,Democrat,+7.0,,2019-03-24 10:52:20,"https://www.foxnews.com/politics/fox-news-poll-biden-sanders-top-democratic-preference",2019-03-17,2019-03-20,"1","Biden","Democrat","+7.0","",47.0,40.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"22","Emerson College","Emerson","121167","poll","3/17 - 3/18","","1153 RV","2.8","",Biden,Democrat,+10.0,,2019-03-20 09:43:40,"http://emersonpolling.com/2019/03/19/national-poll-sanders-tied-with-biden-beto-gets-post-announcement-bump/",2019-03-17,2019-03-18,"1","Biden","Democrat","+10.0","",55.0,45.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"20","Emerson College","Emerson","120819","poll","2/14 - 2/16","","1000 RV","3.3","",Biden,Democrat,+10.0,,2019-02-16 18:35:22,"http://emersonpolling.com/2019/02/16/majority-of-americans-disagree-with-trumps-national-emergency-despite-a-plurality-agreeing-with-border-wall-extension/",2019-02-14,2019-02-16,"1","Biden","Democrat","+10.0","",55.0,45.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"69","Public Policy Polling","PPP (D)","120482","poll","1/19 - 1/21","","760 RV","3.6","",Biden,Democrat,+12.0,,2019-01-23 07:51:30,"https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_National_12219.pdf",2019-01-19,2019-01-21,"1","Biden","Democrat","+12.0","",53.0,41.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"60","Public Policy Polling","PPP (D)","120402","poll","6/8 - 6/10","","679 RV","3.8","",Biden,Democrat,+14.0,,2019-01-10 10:53:45,"https://www.publicpolicypolling.com/wp-content/uploads/2018/06/PPP_Release_National_61318.pdf",2018-06-08,2018-06-10,"1","Biden","Democrat","+14.0","",53.0,39.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"68","Public Policy Polling","PPP (D)","120396","poll","3/23 - 3/25","","846 RV","3.4","",Biden,Democrat,+17.0,,2019-01-10 10:49:02,"https://www.publicpolicypolling.com/wp-content/uploads/2018/03/PPP_Release_National_32718.pdf",2018-03-23,2018-03-25,"1","Biden","Democrat","+17.0","",56.0,39.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"61","Public Policy Polling","PPP (D)","116867","poll","2/9 - 2/11","","687 RV","3.7","",Biden,Democrat,+9.0,,2018-02-14 10:44:07,"https://www.publicpolicypolling.com/wp-content/uploads/2018/02/PPP_Release_National_21418.pdf",2018-02-09,2018-02-11,"1","Biden","Democrat","+9.0","",51.0,42.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"11","CNN/Opinion Research Corp.","CNN","116961","poll","1/14 - 1/18","","918 RV","3.8","",Biden,Democrat,+17.0,,2018-02-26 23:19:22,"http://cdn.cnn.com/cnn/2018/images/01/23/rel1e.-.2020.pdf",2018-01-14,2018-01-18,"1","Biden","Democrat","+17.0","",57.0,40.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"59","Public Policy Polling","PPP (D)","116407","poll","12/11 - 12/12","","862 RV","3.3","",Biden,Democrat,+14.0,,2017-12-14 10:33:03,"https://www.publicpolicypolling.com/wp-content/uploads/2017/12/PPP_Release_National_121417.pdf",2017-12-11,2017-12-12,"1","Biden","Democrat","+14.0","",54.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"70","Public Policy Polling","PPP (D)","116008","poll","10/27 - 10/29","","572 RV","4.1","",Biden,Democrat,+18.0,,2017-10-31 11:34:12,"https://www.publicpolicypolling.com/wp-content/uploads/2017/10/PPP_Release_National_103117.pdf",2017-10-27,2017-10-29,"1","Biden","Democrat","+18.0","",56.0,38.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"24","Emerson College","Emerson","115890","poll","10/12 - 10/14","","820 RV","3.4","",Biden,Democrat,+9.0,,2017-10-23 10:37:25,"http://www.emerson.edu/sites/default/files/Files/Academics/ecp-10.16-national.press_.release.pdf",2017-10-12,2017-10-14,"1","Biden","Democrat","+9.0","",51.0,42.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"65","Public Policy Polling","PPP (D)","115668","poll","9/22 - 9/25","","865 RV","3.3","",Biden,Democrat,+13.0,,2017-09-28 14:19:24,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_92817.pdf",2017-09-22,2017-09-25,"1","Biden","Democrat","+13.0","",53.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"62","Public Policy Polling","PPP (D)","115397","poll","8/18 - 8/21","","887 RV","3.3","",Biden,Democrat,+12.0,,2017-08-29 15:07:09,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_82317.pdf",2017-08-18,2017-08-21,"1","Biden","Democrat","+12.0","",51.0,39.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"63","Public Policy Polling","PPP (D)","115391","poll","7/14 - 7/17","","836 RV","3.4","",Biden,Democrat,+15.0,,2017-08-29 14:56:27,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_71817.pdf",2017-07-14,2017-07-17,"1","Biden","Democrat","+15.0","",54.0,39.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"64","Public Policy Polling","PPP (D)","115384","poll","6/9 - 6/11","","811 RV","3.4","",Biden,Democrat,+13.0,,2017-08-29 12:58:42,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf",2017-06-09,2017-06-11,"1","Biden","Democrat","+13.0","",54.0,41.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"71","Public Policy Polling","PPP (D)","115379","poll","5/12 - 5/14","","692 RV","3.7","",Biden,Democrat,+14.0,,2017-08-29 12:49:23,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf",2017-05-12,2017-05-14,"1","Biden","Democrat","+14.0","",54.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"66","Public Policy Polling","PPP (D)","115405","poll","4/17 - 4/18","","648 RV","3.9","",Biden,Democrat,+14.0,,2017-08-29 15:47:03,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf",2017-04-17,2017-04-18,"1","Biden","Democrat","+14.0","",54.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"67","Public Policy Polling","PPP (D)","115374","poll","3/27 - 3/28","","677 RV","3.8","",Biden,Democrat,+14.0,,2017-08-29 12:35:20,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf",2017-03-27,2017-03-28,"1","Biden","Democrat","+14.0","",54.0,40.0,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
